Week Start,Week Wed ODR
2025-04-08,DXP
2025-04-01,DXP
2025-03-25,DXP
2025-03-18,DXP
2025-03-11,DXP
2025-03-04,UXP
2025-02-25,DX
2025-02-18,UXP
2025-02-11,DXP
2025-02-04,RC
2025-01-28,U
2025-01-21,D
2025-01-14,RC
2025-01-07,UXP
2024-12-31,
2024-12-24,
2024-12-17,UXP
2024-12-10,UXP
2024-12-03,UXP
2024-11-26,DXP
2024-11-19,U
2024-11-12,DXP
2024-11-05,DXP
2024-10-29,UX
2024-10-22,RC
2024-10-15,UXP
2024-10-08,RC
2024-10-01,UXP
2024-09-24,DXP
2024-09-17,DXP
2024-09-10,RC
2024-09-03,DXP
2024-08-27,DXP
2024-08-20,DXP
2024-08-13,DX
2024-08-06,RC
2024-07-30,UXP
2024-07-23,DX
2024-07-16,UXP
2024-07-09,DXP
2024-07-02,DXP
2024-06-25,D
2024-06-18,UXP
2024-06-11,UXP
2024-06-04,UX
2024-05-28,UXP
2024-05-21,DXP
2024-05-14,RC
2024-05-07,DXP
2024-04-30,DXP
2024-04-23,UXP
2024-04-16,DX
2024-04-09,DXP
2024-04-02,UXP
2024-03-26,DXP
2024-03-19,DX
2024-03-12,RC
2024-03-05,UX
2024-02-27,RX
2024-02-20,DXP
2024-02-13,UXP
2024-02-06,U
2024-01-30,UXP
2024-01-23,U
2024-01-16,DXP
2024-01-09,UXP
2024-01-02,DXP
2023-12-26,D
2023-12-19,UXP
2023-12-12,DXP
2023-12-05,DXP
2023-11-28,UXP
2023-11-21,UXP
2023-11-14,DXP
2023-11-07,DXP
2023-10-31,DXP
2023-10-24,DXP
2023-10-17,RC
2023-10-10,UXP
2023-10-03,DXP
2023-09-26,UXP
2023-09-19,DXP
2023-09-12,UXP
2023-09-05,DXP
2023-08-29,UXP
2023-08-22,DXP
2023-08-15,RC
2023-08-08,UXP
2023-08-01,UXP
2023-07-25,UXP
2023-07-18,UXP
2023-07-11,UXP
2023-07-04,RC
2023-06-27,DXP
2023-06-20,UXP
2023-06-13,U
2023-06-06,RC
2023-05-30,DXP
2023-05-23,UXP
2023-05-16,DXP
2023-05-09,UXP
2023-05-02,DXP
2023-04-25,RC
2023-04-18,RC
2023-04-11,UXP
2023-04-04,RC
2023-03-28,UXP
2023-03-21,RC
2023-03-14,DXP
2023-03-07,DXP
2023-02-28,UX
2023-02-21,DXP
2023-02-14,DX
2023-02-07,UXP
2023-01-31,UXP
2023-01-24,DXP
2023-01-17,U
2023-01-10,RC
2023-01-03,DXP
2022-12-27,DXP
2022-12-20,U
2022-12-13,UX
2022-12-06,DXP
2022-11-29,D
2022-11-22,UX
2022-11-15,UXP
2022-11-08,DXP
2022-11-01,UXP
2022-10-25,DX
2022-10-18,D
2022-10-11,RC
2022-10-04,UXP
2022-09-27,DXP
2022-09-20,UXP
2022-09-13,DXP
2022-09-06,DXP
2022-08-30,DXP
2022-08-23,UXP
2022-08-16,DXP
2022-08-09,DXP
2022-08-02,DXP
2022-07-26,DXP
2022-07-19,UX
2022-07-12,DXP
2022-07-05,DXP
2022-06-28,UX
2022-06-21,DXP
2022-06-14,DXP
2022-06-07,UX
2022-05-31,DXP
2022-05-24,RC
2022-05-17,DXP
2022-05-10,DXP
2022-05-03,UX
2022-04-26,UXP
2022-04-19,RC
2022-04-12,UXP
2022-04-05,DXP
2022-03-29,UXP
2022-03-22,UX
2022-03-15,UXP
2022-03-08,DX
2022-03-01,UXP
2022-02-22,DX
2022-02-15,UXP
2022-02-08,D
2022-02-01,UX
2022-01-25,UXP
2022-01-18,UXP
2022-01-11,UXP
2022-01-04,DX
2021-12-28,RC
2021-12-21,UXP
2021-12-14,DX
2021-12-07,DX
2021-11-30,UXP
2021-11-23,UXP
2021-11-16,DXP
2021-11-09,UXP
2021-11-02,DXP
2021-10-26,DX
2021-10-19,UX
2021-10-12,RC
2021-10-05,UX
2021-09-28,DXP
2021-09-21,UXP
2021-09-14,UXP
2021-09-07,U
2021-08-31,UXP
2021-08-24,UXP
2021-08-17,DXP
2021-08-10,RC
2021-08-03,UX
2021-07-27,U
2021-07-20,UXP
2021-07-13,UXP
2021-07-06,DX
2021-06-29,DX
2021-06-22,RC
2021-06-15,UXP
2021-06-08,UXP
2021-06-01,DXP
2021-05-25,RC
2021-05-18,DXP
2021-05-11,UXP
2021-05-04,UXP
2021-04-27,UXP
2021-04-20,DXP
2021-04-13,UXP
2021-04-06,DXP
2021-03-30,UX
2021-03-23,DXP
2021-03-16,UXP
2021-03-09,DXP
2021-03-02,DXP
2021-02-23,RC
2021-02-16,UXP
2021-02-09,UXP
2021-02-02,U
2021-01-26,UX
2021-01-19,UXP
2021-01-12,UXP
2021-01-05,UXP
2020-12-29,UXP
2020-12-22,DXP
2020-12-15,UXP
2020-12-08,UXP
2020-12-01,DXP
2020-11-24,UXP
2020-11-17,UXP
2020-11-10,UXP
2020-11-03,DXP
2020-10-27,DXP
2020-10-20,UXP
2020-10-13,DX
2020-10-06,DXP
2020-09-29,DXP
2020-09-22,DX
2020-09-15,UXP
2020-09-08,U
2020-09-01,RC
2020-08-25,RC
2020-08-18,UX
2020-08-11,DXP
2020-08-04,UXP
2020-07-28,UX
2020-07-21,DXP
2020-07-14,UXP
2020-07-07,RC
2020-06-30,UXP
2020-06-23,DXP
2020-06-16,DXP
2020-06-09,UX
2020-06-02,UXP
2020-05-26,DXP
2020-05-19,DX
2020-05-12,U
2020-05-05,UX
2020-04-28,UXP
2020-04-21,DXP
2020-04-14,DXP
2020-04-07,DXP
2020-03-31,DX
2020-03-24,UXP
2020-03-17,DXP
2020-03-10,UX
2020-03-03,DXP
2020-02-25,DXP
2020-02-18,UXP
2020-02-11,UXP
2020-02-04,D
2020-01-28,UXP
2020-01-21,DXP
2020-01-14,DXP
2020-01-07,UX
2019-12-31,
2019-12-24,
2019-12-17,DXP
2019-12-10,RC
2019-12-03,UXP
