day	model	count	percentage
1	Upside	0	0.0
1	Downside	0	0.0
1	Inside	0	0.0
1	Outside	0	0.0
1	Undefined	889	100.0
2	Upside	373	41.86307519640853
2	Downside	326	36.58810325476992
2	Inside	114	12.794612794612794
2	Outside	74	8.305274971941639
2	Undefined	4	0.44893378226711567
3	Upside	335	37.68278965129358
3	Downside	335	37.68278965129358
3	Inside	136	15.29808773903262
3	Outside	81	9.111361079865016
3	Undefined	2	0.22497187851518563
4	Upside	369	41.3677130044843
4	Downside	335	37.55605381165919
4	Inside	88	9.865470852017937
4	Outside	99	11.09865470852018
4	Undefined	1	0.11210762331838565
5	Upside	283	31.726457399103143
5	Downside	293	32.847533632286996
5	Inside	41	4.596412556053812
5	Outside	271	30.38116591928251
5	Undefined	4	0.4484304932735426
