week_start,high_day,low_day,num_days,day_1_open,day_1_high,day_1_low,day_1_close,day_1_name,day_1_model,day_2_open,day_2_high,day_2_low,day_2_close,day_2_name,day_2_model,day_3_open,day_3_high,day_3_low,day_3_close,day_3_name,day_3_model,day_4_open,day_4_high,day_4_low,day_4_close,day_4_name,day_4_model,day_5_open,day_5_high,day_5_low,day_5_close,day_5_name,day_5_model,day_1_partial_model,day_2_partial_model,day_3_partial_model,day_4_partial_model,day_5_partial_model
2008-01-01,2,4,5,96.05,99.81,96.05,99.75,Tuesday,Undefined,99.64,100.09,98.45,98.62,Wednesday,Upside,99.18,99.41,97.1,97.4,Thursday,Downside,97.89,98.4,94.47,95.08,Friday,Downside,95.08,96.09,95.04,95.44,Monday,Inside,N/A,,Upside,,
2008-01-08,1,3,5,96.41,97.97,95.45,95.78,Tuesday,Undefined,95.64,96.24,93.26,94.05,Wednesday,Downside,93.83,94.65,92.31,92.49,Thursday,Downside,92.73,94.43,92.41,94.22,Friday,Inside,95.39,97.54,93.57,93.79,Tuesday,Upside,N/A,Upside,Downside,Downside,Downside
2008-01-15,5,5,5,91.96,92.18,89.26,91.07,Tuesday,Undefined,90.81,92.19,89.57,90.0,Wednesday,Upside,90.2,91.32,89.61,90.02,Thursday,Inside,90.56,91.0,88.55,88.62,Friday,Downside,93.78,94.36,86.11,87.36,Tuesday,Outside,N/A,Downside,Outside,Downside,Downside
2008-01-22,3,1,5,89.15,89.44,86.65,86.82,Tuesday,Undefined,87.0,89.51,86.83,89.47,Wednesday,Upside,89.35,91.38,89.3,90.48,Thursday,Upside,90.69,91.36,88.78,90.98,Friday,Downside,87.55,91.29,86.96,91.18,Tuesday,Downside,N/A,Downside,Outside,Outside,Outside
2008-01-29,1,4,5,91.64,92.71,91.24,92.17,Tuesday,Undefined,92.34,92.56,89.58,91.38,Wednesday,Downside,91.74,92.12,88.46,89.27,Thursday,Downside,89.05,90.83,88.07,90.07,Friday,Downside,91.18,91.94,89.12,89.32,Tuesday,Upside,N/A,Upside,Downside,Upside,Upside
2008-02-05,4,2,5,88.32,88.94,86.66,87.13,Tuesday,Undefined,87.17,88.14,86.24,87.79,Wednesday,Downside,88.09,91.94,87.83,91.39,Thursday,Upside,91.77,94.72,90.92,93.57,Friday,Upside,89.32,93.7,87.53,93.47,Tuesday,Downside,N/A,Downside,Downside,Outside,Outside
2008-02-12,5,1,5,92.86,94.0,92.07,93.34,Tuesday,Undefined,93.41,95.55,93.3,95.48,Wednesday,Upside,95.55,96.59,94.64,95.6,Thursday,Upside,95.55,96.38,95.12,95.84,Friday,Inside,93.47,96.73,92.13,96.68,Tuesday,Outside,N/A,Outside,Upside,Upside,Upside
2008-02-19,1,5,5,99.61,100.86,97.99,100.13,Tuesday,Undefined,99.65,100.33,96.87,98.09,Wednesday,Downside,98.25,99.75,97.16,98.45,Thursday,Inside,98.8,99.7,97.75,99.21,Friday,Inside,96.68,99.5,96.68,98.78,Tuesday,Downside,N/A,Upside,Outside,Upside,Upside
2008-02-26,4,5,5,100.84,102.08,99.52,99.84,Tuesday,Undefined,99.6,102.74,98.91,102.14,Wednesday,Outside,102.61,103.05,101.36,101.89,Thursday,Upside,101.78,103.95,100.77,102.44,Friday,Outside,98.78,102.72,98.46,102.07,Tuesday,Downside,N/A,Upside,Outside,Upside,Upside
2008-03-04,5,5,5,99.7,104.56,99.55,103.72,Tuesday,Undefined,104.44,105.97,102.85,105.15,Wednesday,Upside,105.49,106.54,103.91,104.2,Thursday,Upside,105.03,107.85,104.08,107.51,Friday,Upside,102.09,108.21,98.87,107.89,Tuesday,Outside,N/A,Outside,Upside,Downside,Downside
2008-03-11,2,5,5,108.12,109.85,107.09,108.93,Tuesday,Undefined,109.06,111.0,108.8,109.26,Wednesday,Upside,109.58,110.56,107.56,108.61,Thursday,Downside,108.73,110.35,103.23,103.42,Friday,Downside,107.89,109.72,101.75,104.25,Tuesday,Downside,N/A,Outside,Upside,Upside,Upside
2008-03-18,1,2,5,106.67,108.9,102.79,103.09,Tuesday,Undefined,102.97,104.05,98.65,101.02,Wednesday,Downside,101.09,101.99,100.11,101.44,Thursday,Inside,101.7,102.3,100.02,101.81,Sunday,Outside,104.26,107.19,99.66,100.31,Tuesday,Outside,N/A,Outside,Downside,Inside,Inside
2008-03-25,3,5,5,100.71,105.65,100.16,105.15,Tuesday,Undefined,105.17,107.78,105.03,107.56,Wednesday,Upside,107.73,108.22,104.71,105.35,Thursday,Outside,105.48,106.78,100.92,101.17,Friday,Downside,100.32,101.8,99.13,100.7,Tuesday,Downside,N/A,Upside,Upside,Outside,Outside
2008-04-01,5,5,5,101.81,102.4,99.84,102.32,Tuesday,Undefined,102.44,106.44,102.21,105.22,Wednesday,Upside,104.53,106.0,103.6,105.68,Thursday,Inside,105.85,109.48,105.28,108.82,Friday,Upside,100.69,109.64,99.55,109.21,Tuesday,Outside,N/A,Upside,Upside,Downside,Downside
2008-04-08,1,5,5,108.97,112.21,107.95,111.48,Tuesday,Undefined,111.67,112.2,108.75,110.37,Wednesday,Inside,110.45,111.04,108.92,109.32,Thursday,Inside,109.51,111.2,109.08,110.63,Friday,Upside,109.21,111.81,107.64,111.52,Tuesday,Outside,N/A,Upside,Upside,Upside,Upside
2008-04-15,4,5,5,112.94,114.43,111.74,113.66,Tuesday,Undefined,113.85,115.07,113.34,114.36,Wednesday,Upside,114.17,115.7,112.33,115.17,Thursday,Outside,115.07,117.02,114.73,115.62,Friday,Upside,111.58,116.94,111.25,116.68,Tuesday,Downside,N/A,Upside,Upside,Upside,Upside
2008-04-22,4,2,5,118.39,118.95,116.45,117.95,Tuesday,Undefined,117.9,118.69,114.25,115.06,Wednesday,Downside,115.22,119.55,114.51,118.92,Thursday,Upside,119.0,119.93,118.16,118.8,Friday,Upside,116.66,119.14,115.94,118.17,Tuesday,Downside,N/A,Upside,Outside,Upside,Upside
2008-04-29,5,2,5,115.49,116.7,113.32,114.17,Tuesday,Undefined,114.44,115.23,110.3,110.9,Wednesday,Downside,110.92,116.45,110.79,115.71,Thursday,Upside,115.54,120.36,115.5,119.85,Friday,Upside,118.17,120.68,114.95,120.5,Tuesday,Outside,N/A,Downside,Downside,Downside,Downside
2008-05-06,4,5,5,122.05,123.56,120.54,123.1,Tuesday,Undefined,123.24,123.93,121.58,122.8,Wednesday,Upside,122.45,126.2,122.13,125.64,Thursday,Upside,125.65,126.4,123.86,125.37,Friday,Upside,120.5,125.77,119.33,124.0,Tuesday,Downside,N/A,Upside,Upside,Upside,Upside
2008-05-13,4,2,5,126.34,126.59,123.76,124.37,Tuesday,Undefined,124.43,126.43,120.65,121.71,Wednesday,Downside,121.85,127.42,121.55,125.48,Thursday,Upside,125.78,127.47,125.24,126.15,Friday,Upside,123.98,127.16,123.2,126.65,Tuesday,Downside,N/A,Upside,Outside,Outside,Outside
2008-05-20,2,5,5,128.76,132.7,128.05,132.6,Tuesday,Undefined,132.36,135.09,131.1,132.05,Wednesday,Upside,132.2,133.71,130.07,131.83,Thursday,Downside,131.67,133.46,130.85,133.05,Friday,Inside,126.64,133.64,126.28,133.52,Tuesday,Outside,N/A,Upside,Upside,Upside,Upside
2008-05-27,5,3,5,130.13,130.81,125.96,130.31,Tuesday,Undefined,130.33,133.12,126.11,127.05,Wednesday,Upside,127.97,128.3,124.67,127.2,Thursday,Downside,127.72,129.35,125.22,128.35,Friday,Upside,133.52,133.65,127.0,127.5,Tuesday,Upside,N/A,Downside,Upside,Outside,Outside
2008-06-03,4,2,5,125.32,125.49,121.84,122.79,Tuesday,Undefined,122.72,124.87,121.61,124.8,Wednesday,Downside,124.85,137.7,124.69,136.44,Thursday,Upside,136.8,139.12,135.15,136.01,Friday,Upside,127.47,136.18,124.8,133.58,Tuesday,Downside,N/A,Downside,Outside,Outside,Outside
2008-06-10,4,1,5,131.55,137.86,130.8,137.25,Tuesday,Undefined,137.22,138.3,131.55,135.22,Wednesday,Upside,135.1,137.62,134.12,135.46,Thursday,Inside,135.19,140.42,134.09,135.59,Friday,Outside,133.62,137.98,131.42,135.78,Tuesday,Downside,N/A,Outside,Outside,Downside,Downside
2008-06-17,2,3,5,134.02,135.72,132.41,134.72,Tuesday,Undefined,135.05,138.36,132.6,133.47,Wednesday,Upside,133.16,137.5,131.75,135.76,Thursday,Downside,136.09,138.14,134.05,137.71,Friday,Upside,135.75,137.9,132.67,137.57,Tuesday,Downside,N/A,Outside,Outside,Downside,Downside
2008-06-24,4,1,5,136.33,137.58,131.95,133.61,Tuesday,Undefined,133.84,138.95,133.11,138.23,Wednesday,Upside,138.29,142.26,137.84,141.76,Thursday,Upside,142.08,143.67,139.17,140.96,Friday,Upside,137.59,141.69,135.9,141.52,Tuesday,Downside,N/A,Downside,Outside,Upside,Upside
2008-07-01,2,4,5,141.86,143.27,140.01,142.8,Tuesday,Undefined,142.86,145.85,141.75,144.43,Wednesday,Upside,144.41,145.68,143.7,144.17,Thursday,Inside,144.1,144.53,139.5,141.11,Friday,Downside,141.52,143.44,140.82,141.29,Tuesday,Inside,N/A,Outside,Upside,Downside,Downside
2008-07-08,3,5,5,136.53,138.28,135.34,137.29,Tuesday,Undefined,136.74,138.3,135.43,137.43,Wednesday,Upside,137.45,147.27,137.11,144.54,Thursday,Upside,144.18,146.93,142.49,145.37,Friday,Inside,141.3,145.94,135.14,145.35,Tuesday,Downside,N/A,Downside,Outside,Downside,Downside
