week_start,trading_day,date,partial_model
2008-01-01,2.0,2008-01-02,Upside
2008-01-01,1.0,2008-01-01,N/A
2008-01-01,3.0,2008-01-03,Outside
2008-01-01,4.0,2008-01-02,Upside
2008-01-01,5.0,2008-01-07,Downside
2008-01-08,1.0,2008-01-08,N/A
2008-01-08,2.0,2008-01-09,Outside
2008-01-08,3.0,2008-01-10,Downside
2008-01-08,4.0,2008-01-08,Undefined
2008-01-08,5.0,2008-01-08,Downside
2008-01-15,1.0,2008-01-15,N/A
2008-01-15,2.0,2008-01-16,Outside
2008-01-15,3.0,2008-01-17,Downside
2008-01-15,4.0,2008-01-15,Downside
2008-01-15,5.0,2008-01-15,Undefined
2008-01-22,1.0,2008-01-22,N/A
2008-01-22,2.0,2008-01-23,Downside
2008-01-22,3.0,2008-01-24,Outside
2008-01-22,4.0,2008-01-22,Upside
2008-01-22,5.0,2008-01-22,Outside
2008-01-29,1.0,2008-01-29,N/A
2008-01-29,2.0,2008-01-30,Downside
2008-01-29,3.0,2008-01-31,Outside
2008-01-29,4.0,2008-01-29,Outside
2008-01-29,5.0,2008-01-29,Undefined
2008-02-05,1.0,2008-02-05,N/A
2008-02-05,2.0,2008-02-06,Downside
2008-02-05,3.0,2008-02-07,Upside
2008-02-05,4.0,2008-02-05,Outside
2008-02-05,5.0,2008-02-05,Upside
2008-02-12,1.0,2008-02-12,N/A
2008-02-12,2.0,2008-02-13,Outside
2008-02-12,3.0,2008-02-14,Upside
2008-02-12,4.0,2008-02-12,Upside
2008-02-12,5.0,2008-02-12,Undefined
2008-02-19,1.0,2008-02-19,N/A
2008-02-19,2.0,2008-02-20,Outside
2008-02-19,3.0,2008-02-21,Downside
2008-02-19,4.0,2008-02-19,Upside
2008-02-19,5.0,2008-02-19,Outside
2008-02-26,1.0,2008-02-26,N/A
2008-02-26,2.0,2008-02-27,Downside
2008-02-26,3.0,2008-02-28,Upside
2008-02-26,4.0,2008-02-26,Upside
2008-02-26,5.0,2008-02-26,Upside
2008-03-04,1.0,2008-03-04,N/A
2008-03-04,2.0,2008-03-05,Upside
2008-03-04,3.0,2008-03-06,Downside
2008-03-04,4.0,2008-03-04,Outside
2008-03-04,5.0,2008-03-04,Undefined
2008-03-11,1.0,2008-03-11,N/A
2008-03-11,2.0,2008-03-12,Outside
2008-03-11,3.0,2008-03-13,Outside
2008-03-11,4.0,2008-03-11,Outside
2008-03-11,5.0,2008-03-11,Undefined
2008-03-18,1.0,2008-03-18,N/A
2008-03-18,2.0,2008-03-19,Downside
2008-03-18,3.0,2008-03-20,Upside
2008-03-18,4.0,2008-03-18,Downside
2008-03-18,5.0,2008-03-18,Downside
2008-03-25,1.0,2008-03-25,N/A
2008-03-25,2.0,2008-03-26,Upside
2008-03-25,3.0,2008-03-27,Upside
2008-03-25,4.0,2008-03-25,Upside
2008-03-25,5.0,2008-03-25,Undefined
2008-04-01,1.0,2008-04-01,N/A
2008-04-01,2.0,2008-04-02,Outside
2008-04-01,3.0,2008-04-03,Outside
2008-04-01,4.0,2008-04-01,Upside
2008-04-01,5.0,2008-04-01,Upside
2008-04-08,1.0,2008-04-08,N/A
2008-04-08,2.0,2008-04-09,Upside
2008-04-08,3.0,2008-04-10,Downside
2008-04-08,4.0,2008-04-08,Upside
2008-04-08,5.0,2008-04-08,Upside
2008-04-15,1.0,2008-04-15,N/A
2008-04-15,2.0,2008-04-16,Outside
2008-04-15,3.0,2008-04-17,Downside
2008-04-15,4.0,2008-04-15,Upside
2008-04-15,5.0,2008-04-15,Undefined
2008-04-22,1.0,2008-04-22,N/A
2008-04-22,2.0,2008-04-23,Outside
2008-04-22,3.0,2008-04-24,Downside
2008-04-22,4.0,2008-04-22,Outside
2008-04-22,5.0,2008-04-22,Upside
2008-04-29,1.0,2008-04-29,N/A
2008-04-29,2.0,2008-04-30,Downside
2008-04-29,3.0,2008-05-01,Downside
2008-04-29,4.0,2008-04-29,Outside
2008-04-29,5.0,2008-04-29,Upside
2008-05-06,1.0,2008-05-06,N/A
2008-05-06,2.0,2008-05-07,Outside
2008-05-06,3.0,2008-05-08,Outside
2008-05-06,4.0,2008-05-06,Upside
2008-05-06,5.0,2008-05-06,Undefined
2008-05-13,1.0,2008-05-13,N/A
2008-05-13,2.0,2008-05-14,Downside
2008-05-13,3.0,2008-05-15,Outside
2008-05-13,4.0,2008-05-13,Upside
2008-05-13,5.0,2008-05-13,Outside
2008-05-20,1.0,2008-05-20,N/A
2008-05-20,2.0,2008-05-21,Outside
2008-05-20,3.0,2008-05-22,Downside
2008-05-20,4.0,2008-05-20,Upside
2008-05-20,5.0,2008-05-20,Undefined
2008-05-27,1.0,2008-05-27,N/A
2008-05-27,2.0,2008-05-28,Upside
2008-05-27,3.0,2008-05-29,Outside
2008-05-27,4.0,2008-05-27,Downside
2008-05-27,5.0,2008-05-27,Undefined
2008-06-03,1.0,2008-06-03,N/A
2008-06-03,2.0,2008-06-04,Outside
2008-06-03,3.0,2008-06-05,Upside
2008-06-03,4.0,2008-06-03,Outside
2008-06-03,5.0,2008-06-03,Upside
2008-06-10,1.0,2008-06-10,N/A
2008-06-10,2.0,2008-06-11,Upside
2008-06-10,3.0,2008-06-12,Outside
2008-06-10,4.0,2008-06-10,Outside
2008-06-10,5.0,2008-06-10,Outside
2008-06-17,1.0,2008-06-17,N/A
2008-06-17,2.0,2008-06-18,Outside
2008-06-17,3.0,2008-06-19,Downside
2008-06-17,4.0,2008-06-17,Upside
2008-06-17,5.0,2008-06-17,Undefined
2008-06-24,1.0,2008-06-24,N/A
2008-06-24,2.0,2008-06-25,Downside
2008-06-24,3.0,2008-06-26,Upside
2008-06-24,4.0,2008-06-24,Undefined
2008-06-24,5.0,2008-06-24,Upside
2008-07-01,1.0,2008-07-01,N/A
2008-07-01,2.0,2008-07-02,Outside
2008-07-01,3.0,2008-07-03,Downside
2008-07-01,4.0,2008-07-01,Outside
2008-07-01,5.0,2008-07-01,Outside
2008-07-08,1.0,2008-07-08,N/A
2008-07-08,2.0,2008-07-09,Downside
2008-07-08,3.0,2008-07-10,Upside
2008-07-08,4.0,2008-07-08,Outside
2008-07-08,5.0,2008-07-08,Upside
2008-07-15,1.0,2008-07-15,N/A
2008-07-15,2.0,2008-07-16,Downside
2008-07-15,3.0,2008-07-17,Outside
2008-07-15,4.0,2008-07-15,Downside
2008-07-15,5.0,2008-07-15,Undefined
2008-07-22,1.0,2008-07-22,N/A
2008-07-22,2.0,2008-07-23,Outside
2008-07-22,3.0,2008-07-24,Outside
2008-07-22,4.0,2008-07-22,Downside
2008-07-22,5.0,2008-07-22,Undefined
2008-07-29,1.0,2008-07-29,N/A
2008-07-29,2.0,2008-07-30,Outside
2008-07-29,3.0,2008-07-31,Downside
2008-07-29,4.0,2008-07-29,Outside
2008-07-29,5.0,2008-07-29,Undefined
2008-08-05,1.0,2008-08-05,N/A
2008-08-05,2.0,2008-08-06,Outside
2008-08-05,3.0,2008-08-07,Downside
2008-08-05,4.0,2008-08-05,Downside
2008-08-05,5.0,2008-08-05,Downside
2008-08-12,1.0,2008-08-12,N/A
2008-08-12,2.0,2008-08-13,Upside
2008-08-12,3.0,2008-08-14,Downside
2008-08-12,4.0,2008-08-12,Downside
2008-08-12,5.0,2008-08-12,Downside
2008-08-19,1.0,2008-08-19,N/A
2008-08-19,2.0,2008-08-20,Outside
2008-08-19,3.0,2008-08-21,Upside
2008-08-19,4.0,2008-08-19,Upside
2008-08-19,5.0,2008-08-19,Outside
2008-08-26,1.0,2008-08-26,N/A
2008-08-26,2.0,2008-08-27,Upside
2008-08-26,3.0,2008-08-28,Downside
2008-08-26,4.0,2008-08-26,Upside
2008-08-26,5.0,2008-08-26,Downside
2008-09-02,1.0,2008-09-02,N/A
2008-09-02,2.0,2008-09-03,Upside
2008-09-02,3.0,2008-09-04,Downside
2008-09-02,4.0,2008-09-02,Outside
2008-09-02,5.0,2008-09-02,Outside
2008-09-09,1.0,2008-09-09,N/A
2008-09-09,2.0,2008-09-10,Outside
2008-09-09,3.0,2008-09-11,Downside
2008-09-09,4.0,2008-09-09,Downside
2008-09-09,5.0,2008-09-09,Outside
2008-09-16,1.0,2008-09-16,N/A
2008-09-16,2.0,2008-09-17,Outside
2008-09-16,3.0,2008-09-18,Downside
2008-09-16,4.0,2008-09-16,Upside
2008-09-16,5.0,2008-09-16,Upside
2008-09-23,1.0,2008-09-23,N/A
2008-09-23,2.0,2008-09-24,Undefined
2008-09-23,3.0,2008-09-25,Upside
2008-09-23,4.0,2008-09-23,Undefined
2008-09-23,5.0,2008-09-23,Downside
2008-09-30,1.0,2008-09-30,N/A
2008-09-30,2.0,2008-10-01,Downside
2008-09-30,3.0,2008-10-02,Downside
2008-09-30,4.0,2008-09-30,Downside
2008-09-30,5.0,2008-09-30,Undefined
2008-10-07,1.0,2008-10-07,N/A
2008-10-07,2.0,2008-10-08,Inside
2008-10-07,3.0,2008-10-09,Downside
2008-10-07,4.0,2008-10-07,Downside
2008-10-07,5.0,2008-10-07,Downside
2008-10-14,1.0,2008-10-14,N/A
2008-10-14,2.0,2008-10-15,Downside
2008-10-14,3.0,2008-10-16,Downside
2008-10-14,4.0,2008-10-14,Downside
2008-10-14,5.0,2008-10-14,Undefined
